Country,Status,Week,Date,Amount
Aruba,Suspected,1,"January, 2016",0
Aruba,"Confirmed ",1,"January, 2016",0
Aruba,Suspected,2,"January, 2016",0
Aruba,"Confirmed ",2,"January, 2016",0
Aruba,Suspected,3,"January, 2016",0
Aruba,"Confirmed ",3,"January, 2016",0
Aruba,Suspected,4,"January, 2016",0
Aruba,"Confirmed ",4,"January, 2016",0
Barbados,Suspected,1,"January, 2016",0
Barbados,"Confirmed ",1,"January, 2016",3
Barbados,Suspected,2,"January, 2016",0
Barbados,"Confirmed ",2,"January, 2016",0
Barbados,Suspected,3,"January, 2016",0
Barbados,"Confirmed ",3,"January, 2016",0
Barbados,Suspected,4,"January, 2016",0
Barbados,"Confirmed ",4,"January, 2016",0
Bolivia,Suspected,1,"January, 2016",0
Bolivia,"Confirmed ",1,"January, 2016",0
Bolivia,Suspected,2,"January, 2016",0
Bolivia,"Confirmed ",2,"January, 2016",1
Bolivia,Suspected,3,"January, 2016",0
Bolivia,"Confirmed ",3,"January, 2016",0
Bolivia,Suspected,4,"January, 2016",0
Bolivia,"Confirmed ",4,"January, 2016",0
Bonaire,Suspected,1,"January, 2016",0
Bonaire,"Confirmed ",1,"January, 2016",0
Bonaire,Suspected,2,"January, 2016",0
Bonaire,"Confirmed ",2,"January, 2016",0
Bonaire,Suspected,3,"January, 2016",0
Bonaire,"Confirmed ",3,"January, 2016",0
Bonaire,Suspected,4,"January, 2016",0
Bonaire,"Confirmed ",4,"January, 2016",0
Brazil,Suspected,1,"January, 2016",0
Brazil,"Confirmed ",1,"January, 2016",0
Brazil,Suspected,2,"January, 2016",0
Brazil,"Confirmed ",2,"January, 2016",0
Brazil,Suspected,3,"January, 2016",0
Brazil,"Confirmed ",3,"January, 2016",0
Brazil,Suspected,4,"January, 2016",0
Brazil,"Confirmed ",4,"January, 2016",0
Colombia,Suspected,1,"January, 2016","1,789"
Colombia,"Confirmed ",1,"January, 2016",30
Colombia,Suspected,2,"January, 2016","2,866"
Colombia,"Confirmed ",2,"January, 2016",22
Colombia,Suspected,3,"January, 2016","3,626"
Colombia,"Confirmed ",3,"January, 2016",252
Colombia,Suspected,4,"January, 2016","5,067"
Colombia,"Confirmed ",4,"January, 2016",281
Costa Rica,Suspected,1,"January, 2016",0
Costa Rica,"Confirmed ",1,"January, 2016",0
Costa Rica,Suspected,2,"January, 2016",0
Costa Rica,"Confirmed ",2,"January, 2016",0
Costa Rica,Suspected,3,"January, 2016",0
Costa Rica,"Confirmed ",3,"January, 2016",0
Costa Rica,Suspected,4,"January, 2016",0
